10:50:48 start 准备
10:50:53 end   准备
10:50:53 start 🔔 起跑线
10:50:59 end   🔔 起跑线
10:50:59 start ① 真静息
10:51:29 end   ① 真静息
10:51:29 start ② 摇奶茶·标准
10:51:59 end   ② 摇奶茶·标准
10:51:59 start ③ 摇奶茶·轻
10:52:29 end   ③ 摇奶茶·轻
10:52:29 start ④ 手指敲壳
10:52:59 end   ④ 手指敲壳
10:52:59 start ⑤ 桌面摔落
10:53:29 end   ⑤ 桌面摔落
10:53:29 start ⑥ 真走路
10:53:59 end   ⑥ 真走路
10:53:59 start ⑦ 跑步
10:54:29 end   ⑦ 跑步
10:54:29 start ⑧ 掏兜放兜
10:54:59 end   ⑧ 掏兜放兜
10:54:59 start ⑨ 拎起看屏
10:55:29 end   ⑨ 拎起看屏
10:55:29 start ⑩ 方向盘旋转
10:55:59 end   ⑩ 方向盘旋转
10:55:59 DONE
