I (293989) gaga.wake: [A],293166,1.080,0.080,0.019,0.027,1.080,0.344,1.812,-0.125
I (294000) gaga.wake: [A],293177,1.079,0.079,0.020,0.024,1.078,0.531,1.625,-0.406
I (294011) gaga.wake: [A],293188,1.078,0.078,0.020,0.028,1.078,0.375,1.406,0.062
I (294022) gaga.wake: [A],293199,1.081,0.081,0.023,0.027,1.081,0.469,1.688,-0.031
I (294033) gaga.wake: [A],293210,1.080,0.080,0.020,0.026,1.079,0.312,1.188,-0.125
I (294044) gaga.wake: [A],293221,1.080,0.080,0.021,0.026,1.079,0.438,1.500,-0.312
I (294055) gaga.wake: [A],293232,1.081,0.081,0.020,0.026,1.080,0.531,1.344,-0.156
I (294066) gaga.wake: [A],293243,1.080,0.080,0.018,0.030,1.080,0.312,1.875,-0.188
I (294077) gaga.wake: [A],293254,1.080,0.080,0.020,0.029,1.079,0.625,1.594,0.219
I (294088) gaga.wake: [A],293265,1.080,0.080,0.020,0.027,1.079,0.531,1.406,-0.375
I (294099) gaga.wake: [A],293276,1.078,0.078,0.018,0.027,1.078,0.125,1.031,0.000
I (294110) gaga.wake: [A],293287,1.081,0.081,0.023,0.027,1.080,0.875,1.031,-0.156
I (294121) gaga.wake: [A],293298,1.080,0.080,0.022,0.027,1.080,0.562,1.531,-0.219
I (294132) gaga.wake: [A],293309,1.080,0.080,0.018,0.029,1.079,0.438,1.688,-0.125
I (294143) gaga.wake: [A],293320,1.080,0.080,0.021,0.027,1.080,0.562,1.375,-0.438
I (294154) gaga.wake: [A],293331,1.081,0.081,0.020,0.028,1.081,0.375,1.625,-0.969
I (294165) gaga.wake: [A],293342,1.079,0.079,0.022,0.027,1.078,0.656,1.625,-0.656
I (294176) gaga.wake: [A],293353,1.077,0.077,0.017,0.027,1.077,0.438,2.000,-0.250
I (294187) gaga.wake: [A],293364,1.082,0.082,0.025,0.025,1.082,0.406,1.375,-0.094
I (294198) gaga.wake: [A],293375,1.080,0.080,0.020,0.029,1.079,0.312,1.188,-0.344
I (294209) gaga.wake: [A],293386,1.079,0.079,0.023,0.027,1.078,0.125,0.969,-0.938
I (294220) gaga.wake: [A],293397,1.077,0.077,0.018,0.030,1.077,0.469,1.594,-0.438
I (294231) gaga.wake: [A],293408,1.078,0.078,0.022,0.028,1.077,0.312,1.500,-0.125
I (294242) gaga.wake: [A],293419,1.081,0.081,0.020,0.028,1.080,1.031,1.656,-0.531
I (294253) gaga.wake: [A],293430,1.080,0.080,0.018,0.030,1.079,0.250,1.750,-0.438
I (294264) gaga.wake: [A],293441,1.077,0.077,0.021,0.026,1.076,0.594,1.906,-0.375
I (294275) gaga.wake: [A],293452,1.081,0.081,0.021,0.025,1.080,0.562,1.000,-0.250
I (294286) gaga.wake: [A],293463,1.081,0.081,0.018,0.029,1.080,0.688,1.312,-0.125
I (294297) gaga.wake: [A],293474,1.077,0.077,0.021,0.027,1.077,0.562,1.562,-0.438
I (294308) gaga.wake: [A],293485,1.077,0.077,0.020,0.030,1.077,0.594,1.406,0.188
I (294319) gaga.wake: [A],293496,1.079,0.079,0.023,0.027,1.078,0.719,1.406,-0.156
I (294330) gaga.wake: [A],293507,1.078,0.078,0.020,0.026,1.077,0.500,1.062,0.188
I (294341) gaga.wake: [A],293518,1.079,0.079,0.021,0.026,1.079,0.281,1.094,-0.438
I (294352) gaga.wake: [A],293529,1.082,0.082,0.020,0.026,1.081,0.750,0.844,0.312
I (294363) gaga.wake: [A],293540,1.080,0.080,0.021,0.026,1.079,0.250,1.500,0.188
I (294374) gaga.wake: [A],293551,1.080,0.080,0.020,0.029,1.080,0.219,1.125,-0.250
I (294385) gaga.wake: [A],293562,1.079,0.079,0.019,0.028,1.078,0.938,1.531,-0.281
I (294396) gaga.wake: [A],293573,1.078,0.078,0.021,0.029,1.077,0.469,1.156,-0.156
I (294407) gaga.wake: [A],293584,1.077,0.077,0.021,0.027,1.076,0.344,1.312,-0.188
I (294418) gaga.wake: [A],293595,1.082,0.082,0.020,0.027,1.081,0.656,1.500,-0.219
I (294429) gaga.wake: [A],293606,1.077,0.077,0.021,0.025,1.077,0.719,1.188,-0.469
I (294440) gaga.wake: [A],293617,1.079,0.079,0.020,0.026,1.079,0.688,0.938,-0.656
I (294451) gaga.wake: [A],293628,1.081,0.081,0.020,0.025,1.081,0.156,1.312,-0.281
I (294462) gaga.wake: [A],293639,1.080,0.080,0.020,0.028,1.079,0.406,1.312,-0.594
I (294473) gaga.wake: [A],293650,1.077,0.077,0.020,0.028,1.076,0.531,1.156,-0.156
I (294484) gaga.wake: [A],293661,1.076,0.076,0.018,0.029,1.076,0.594,1.812,-0.344
I (294495) gaga.wake: [A],293672,1.079,0.079,0.021,0.026,1.078,0.438,1.094,0.125
I (294506) gaga.wake: [A],293683,1.079,0.079,0.019,0.030,1.078,0.438,1.094,-0.750
I (294517) gaga.wake: [A],293694,1.079,0.079,0.023,0.029,1.079,0.562,1.000,0.156
I (294528) gaga.wake: [A],293705,1.079,0.079,0.019,0.026,1.079,0.656,1.500,-0.344
I (294539) gaga.wake: [A],293716,1.079,0.079,0.020,0.029,1.078,0.719,1.688,-0.031
